Customer ID,Recency,Tenancy,FirstPurchaseDate,LastPurchaseDate,Frequency,Monetary,AvgOrderValue,R_Score,F_Score,M_Score,RFM_Group,Total_Score,Segment,Churn,AvgDaysBetweenOrders
12346.0,165,361,2009-12-14 08:34:00,2010-06-28 13:53:00,11,372.86,33.89636363636364,2,5,2,252,9,At Risk,1,6.0
12347.0,3,40,2010-10-31 14:20:00,2010-12-07 14:57:00,2,1323.32,661.66,5,2,4,524,11,Recent Customer,0,0.5285714285714286
12348.0,74,74,2010-09-27 14:59:00,2010-09-27 14:59:00,1,222.16,222.16,2,1,1,211,4,Lost,0,0.0
12349.0,43,225,2010-04-29 13:20:00,2010-10-28 08:23:00,3,2671.14,890.38,3,3,5,335,11,Loyal Customer,0,1.7821782178217822
12351.0,11,11,2010-11-29 15:23:00,2010-11-29 15:23:00,1,300.93,300.93,5,1,2,512,8,Recent Customer,0,0.0
12352.0,11,28,2010-11-12 10:20:00,2010-11-29 10:07:00,2,343.8,171.9,5,2,2,522,9,Recent Customer,0,0.9411764705882353
12353.0,44,44,2010-10-27 12:44:00,2010-10-27 12:44:00,1,317.76,317.76,3,1,2,312,6,Avetage/Standard,0,0.0
12355.0,203,203,2010-05-21 11:59:00,2010-05-21 11:59:00,1,488.21000000000004,488.21000000000004,1,1,2,112,4,Lost,1,0.0
12356.0,16,60,2010-10-11 09:42:00,2010-11-24 12:24:00,3,3562.25,1187.4166666666667,4,3,5,435,12,Loyal Customer,0,0.5180722891566265
12357.0,24,24,2010-11-16 10:05:00,2010-11-16 14:29:00,2,12079.99,6039.995,4,2,5,425,11,Recent Customer,0,0.0
12358.0,11,367,2009-12-08 07:59:00,2010-11-29 10:56:00,3,2719.01,906.3366666666667,5,3,5,535,13,Loyal Customer,0,6.228070175438597
12359.0,61,370,2009-12-05 13:32:00,2010-10-10 11:16:00,6,2563.36,427.2266666666667,3,4,5,345,12,Loyal Customer,0,2.646551724137931
12360.0,15,291,2010-02-22 09:32:00,2010-11-25 11:04:00,5,1590.83,318.166,5,4,4,544,13,Champions,0,3.1494252873563218
12361.0,98,318,2010-01-26 14:37:00,2010-09-03 15:19:00,3,321.35,107.11666666666667,2,3,2,232,7,Avetage/Standard,1,12.166666666666666
12362.0,374,374,2009-12-01 10:10:00,2009-12-01 10:10:00,1,130.0,130.0,1,1,1,111,3,Lost,1,0.0
12366.0,269,269,2010-03-16 10:28:00,2010-03-16 10:28:00,1,500.24,500.24,1,1,2,112,4,Lost,1,0.0
12368.0,264,264,2010-03-21 15:56:00,2010-03-21 15:56:00,1,917.6999999999999,917.6999999999999,1,1,3,113,5,Lost,1,0.0
12369.0,49,277,2010-03-08 08:09:00,2010-10-22 13:13:00,3,1791.15,597.0500000000001,3,3,4,334,10,Loyal Customer,0,2.467391304347826
12370.0,260,304,2010-02-09 09:41:00,2010-03-25 12:10:00,3,774.62,258.20666666666665,1,3,3,133,7,Avetage/Standard,1,1.2941176470588236
12371.0,45,281,2010-03-04 18:23:00,2010-10-26 13:37:00,3,2179.42,726.4733333333334,3,3,5,335,11,Loyal Customer,0,2.2815533980582523
12373.0,260,309,2010-02-04 12:08:00,2010-03-25 13:49:00,2,763.0500000000001,381.52500000000003,1,2,3,123,6,Lost,1,1.3611111111111112
12374.0,57,224,2010-04-30 14:01:00,2010-10-14 13:31:00,3,2246.29,748.7633333333333,3,3,5,335,11,Loyal Customer,0,3.3877551020408165
12376.0,25,53,2010-10-18 08:42:00,2010-11-15 12:15:00,2,503.15,251.575,4,2,2,422,8,Recent Customer,0,2.3333333333333335
12377.0,17,225,2010-04-29 15:34:00,2010-11-23 19:24:00,2,1798.2,899.1,4,2,4,424,10,Recent Customer,0,2.810810810810811
12378.0,198,198,2010-05-26 14:07:00,2010-05-26 14:07:00,1,1407.7,1407.7,1,1,4,114,6,Lost,1,0.0
12379.0,58,170,2010-06-23 12:49:00,2010-10-13 14:46:00,2,767.98,383.99,3,2,3,323,8,Avetage/Standard,0,2.8
12380.0,101,298,2010-02-15 12:05:00,2010-08-31 14:54:00,7,6951.49,993.0699999999999,2,5,5,255,12,At Risk,1,1.1395348837209303
12385.0,15,15,2010-11-25 15:14:00,2010-11-25 15:14:00,1,1938.4,1938.4,5,1,4,514,10,Recent Customer,0,0.0
12386.0,2,2,2010-12-08 09:53:00,2010-12-08 09:53:00,1,258.9,258.9,5,1,2,512,8,Recent Customer,0,0.0
12387.0,51,51,2010-10-20 16:27:00,2010-10-20 16:27:00,1,143.94,143.94,3,1,1,311,5,Avetage/Standard,0,0.0
12388.0,81,218,2010-05-06 12:54:00,2010-09-20 12:41:00,2,1120.45,560.225,2,2,4,224,8,Lost,0,3.022222222222222
12389.0,38,291,2010-02-22 10:15:00,2010-11-02 11:52:00,3,1433.33,477.77666666666664,3,3,4,334,10,Loyal Customer,0,5.25
12391.0,100,298,2010-02-15 10:12:00,2010-09-01 12:38:00,5,2312.53,462.50600000000003,2,4,5,245,11,At Risk,1,1.1
12392.0,227,227,2010-04-27 14:04:00,2010-04-27 14:04:00,1,234.75000000000003,234.75000000000003,1,1,1,111,3,Lost,1,0.0
12393.0,18,64,2010-10-07 13:49:00,2010-11-22 16:10:00,2,816.85,408.425,4,2,3,423,9,Recent Customer,0,1.0952380952380953
12395.0,7,238,2010-04-16 10:16:00,2010-12-03 16:35:00,4,2048.64,512.16,5,4,4,544,13,Champions,0,2.381443298969072
